en_term;en_desc;vi_term;vi_desc
net present value (NPV);;giá trị hiện tại ròng;phương pháp này tính giá trị ròng của giá trị hiện tại của các dòng tiền tương lai bằng cách chiết khấu các dòng tiền tương lai này bằng một tỉ suất tương đương với chi phí vốn của doanh nghiệp. dự án có NPV dương thì sẽ tạo ra giá trị cho doanh nghiệp.
nominal group technique;;;Đây là kỹ thuật thường dùng (không phải luôn luôn) trong các cuộc họp brainstorming , nó xếp loại các ý tưởng tạo ra trong quá trình brainstorming.
payback period;;thời gian hoàn vốn;một mô hình đánh giá dự án dựa trên cơ sở thời gian để thu hồi số vốn đầu tư ban đầu. dự án có thời gian hoàn vốn ngắn thì được ưa thích hơn mặc dù mô hình có nhược điểm là không tính đến dòng ngân quỹ phát sinh sau thời điểm hoàn vốn và không tính đến giá trị thời gian của tiền tệ.
performance;;thành quả;các kết quả đã thực hiện được, tiến độ thực hiện được.
performance measurement;;đo lường thành quả;các công cụ, các biện pháp và quy trình đo lường để đánh giá việc thực hiện dự án.
Performance reporting;;báo cáo thực hiện;là tiến trình thu thập thông tin liên quan đến tiến triển của dự án và việc hoàn thành dự án, sau đó báo cáo các thông tin này đến các nhóm hữu quan.
Performance review;;xem xét thành quả;việc thu thập và báo cáo về tình hình và tiến triển của dự án cho nhóm hữu quan. các báo cáo này bao gồm báo cáo thực trạng, báo cáo tiến độ và dự báo. xem xét thành quả là một công cụ của tiến trình báo cáo thực hiện
PERT;;;program eveluation and review technique – kỹ thuật thẩm định và đánh giá theo chương trình là một kỹ thuật lập kế hoạch tiến độ trong điều kiển rủi ro, cho phép tính đến xác xuất xảy ra của các công việc với 3 giá trị : lạc quan, bi quan và dễ xảy ra nhất.
Preassignment;;phân công trước;là công cụ trong tiến trình “thu nhận nhân viên” trong đó một kế hoạch dự án được đưa ra để đấu thầu song các nhân viên đã được phân công trước như một phần không thể tách dời của dự án.
Precedence relationship;;;tương tự logical relationship
Prevention;;ngăn ngừa/phòng ngừa;ngăn ngừa các lỗi xảy ra trong một tiến trình. Đây là mối quan tâm cơ bản của quản trị chất lượng trong dự án.
Prevention cost;;chi phí ngăn ngừa;là các chi phí gắn với việc thoả mãn nhu cầu của khách hàng bằng cách sản xuất ra sản phẩm không sai hỏng
Probability;;;xác xuất – khả năng xảy ra của một sự kiện nào đó.
Process;;;Tiến trình – làm một tập hợp các bước công việc  được thực hiện theo một trình tự để đạt được mục tiêu xác định
Procurement;;;mua sắm/mua hàng cho dự án – là tiến trình mua hàng hàng, dịch vụ từ bên ngoài nhằm phục vụ cho dự án.
Procurement documents;;;tài liệu mua sắm – các tài liệu nhằm mời gọi các nhà cung cấp dự thầu về một sản phẩm hay dịch vụ nào đó. các tài liệu này bao gồm mời đề xuất (RFP), mời cung cấp thông tin (RFI), mời dự thầu (IFB), mời chào giá (RFQ).
Procurement management plan;;;kế hoạch quản trị mua sắm – tài liệu mô tả cách thức quản trị tiến trình mua sắm trong đó chỉ rõ loại hợp đồng sẽ sử dụng, quyền hạn của nhóm dự án, cách thức tiến trình mua sắm được tích hợp với các tiến trình quản trị khác.
Product analysis;;;phân tích sản phẩm – mô tả về sản phẩm của dự án nhờ một số công cụ như phân tích giá trị, phân tích chức năng, triển khai chức năng chất lượng, phân tích chia nhỏ sản phẩm…
Procduct scope;;;phạm vi sản phẩm – bản mô tả các thuộc tính của sản phẩm, được văn bản hoá chính thức.
Product verification;;;kiểm tra sản phẩm – bước trong tiến trình kết thúc hợp đồng nhằm xác định liệu công việc mô tả trong hợp đồng có được hoàn thành một cách chính xác và đúng theo yêu cầu hay không.
Program;;;là một nhóm các dự án được phối hợp với nhau, có liên quan với nhau.
Progressive elaboration;;;xác định dần dần – là một thuộc tính của dự án, có nghĩa là các tính chất, đặc điểm của sản phẩm dự án được làm sáng tỏ và tinh gọn dần dần.
Project charter;;;hiến chương dự án – là tài liệu thường do nhà tài trợ phê chuẩn nhằm chính thức công bố sự ra đời của dự án và là cơ sở để huy động nguồn lực cho dự án.
Project communication managment;;;quản trị truyền thông trong dự án – là một trong những lĩnh vực kiến thức  của PMBoK guide để đảm bao sao cho có sự truyền thông phù hợp, kịp thời đến các nhóm hữu quan trong dự án.
Project cost management;;;quản trị chi phí trong dự án – là một trong những lĩnh vực kiến thức của PMBoK guide liên quan đến hoạch định chi phí, lập ngân sách và kiểm soát chi phí.
Project humanresource management;;;quản trị nguồn nhân lực trong dự án – là một trong những lĩnh vực kiến thức của PMBoK guide nhằm đảm bảo việc sử dụng hiệu quả nguồn nhân lực trong dự án, gồm có: hoạch định tổ chức, thu nhận nhân viên và phát triển nhóm.
Project intergration management;;;quaản trị dự án tích hợp – là một lĩnh vực kiến thức của PMBoK guide nhằm phối hợp tất cả các phương diện của dự án.
Project life cycle;;;Vòng đời dự án – là tập hợp tất cả các giai đoạn từ khi bắt đầu đến khi kết thúc dự án.
Project management;;;quản trị dự án – là các tiến trình được sử dụng để khởi sự, lập kế hoạch, thực thi, kiểm soát và kết thúc dự án bằng cách áp dụng các kỹ năng, kiến thức, các công cụ và kỹ thuật quản trị dự án để đạt các mục tiêu đề ra.
Project management office;;;PMO – văn phòng quản trị dự án, là một bộ phận được lập ra để xây dựng và duy trì các thủ tục và các tiêu chuẩn cho các hoạt động quản trị dự án trong tổ chức.
project management knowledge areas;;;các lĩnh vực kiến thức quản trị dự án – gồm có chín lĩnh vực: quản trị thời gian, quản trị chi phí,, quản trị nguồn nhân lực, quản trị mua sắm, quản trị chất lượng, quản trị rủi ro, quản trị phạm vi và quản trị dự án tích hợp.
project monitoring;;;hoạt động theo dõi, thu thập thông tin để phục vụ cho công tác kiểm soát dự án.
Project plan;;;kế hoạch dự án – là bản kế hoạch tích hợp tất kết quả của tất cả các tiến trình hoạch định khác. kế hoạch dự án là tài liệu vô cùng quan trọng để hướng dẫn dự án trong quá trình thực hiện, đồng thời để đánh giá hiệu quả và kiểm soát dự án. kế hoạch dự án còn là một công cụ truyền thông cho các nhóm hữu quan trong dự án.
Project procurement mangement;;;quản trị mua sắm trong dự án – là một trong chín lĩnh vực quản trị dự án theo PMBoK guide liên quan đến mua sắm hàng hoá và dịch vụ cho dự án.
Project proposal;;;đề xuất dự án
Project quality management;;;quản trị chất lượng  dự án – là một trong chín lĩnh vực kiến thức của quản trị dự án, nhằm đảm bảo đáp ứng yêu cầu  về chất lượng của dự án. Quản trị chất lượng gồm có các tiến trình hoạch định chất lượng, đảm bảo chất lượng và kiểm soát chất lượng.
project record;;;các bản ghi về dự án – là tất cả các thông tin liên quan đến dự án bao gồm các báo cáo, các bản ghi nhớ, tiến độ, kế hoạch và các tài liệu khác.
project report;;;báo cáo dự án – là kết quả của tiến trình phân phát thông tin, có chứa các thông tin của dự án như: báo cáo thực trạng dự án và các biên bản từ các cuộc họp
Project risk management;;;quản trị rủi ro dự án – là mộ trong chín lĩnh vực kiến thức của quản trị dự án nhằm xác định rõ và lập kế hoạhc cho các rủi ro tiềm ẩn có thể tác động đến dự án. tiến trình này bao gồm có hoạch định rủi ro, xác định rủi ro, phân tích định tính và định lượng rủi ro, hoạch định các phương án đối phó, theo dõi và kiểm soát rủi ro
project schedule;;;tiến độ dự án – là bản kế hoạch về mặt thời gian cho các công việc trong dự án cũng như toàn bộ dự án trong đó chỉ rõ thời điểm bắt đầu, kết thúc và thời gian để thực hiện các công việc cũng như toàn bộ dự án.
project scope;;;phạm vi dự án – phạm vi dự án mô tả các công việc  cần thiết để sản xuất ra sản phẩm hay dịch vụ cho dự án, bao gồm các yêu cầu mô tả cụ thể các đặc điểm và chức năng của sản phẩm hay dịch vụ.
project scope management;;;quản trị phạm vi dự án – là một tong chín lĩnh vực kiến thức quản trị dự án với trọng tâm là công việc của dự án và chỉ  các công việc cần thiết để hoàn thành dự án. các tiến trình này gồm có khởi sự, hoạch định phạm vi, xác định phạm vi, kiểm tra phạm vi và kiểm soát thay đổi phạm vi.
project selection criteria;;;tiêu chuẩn lựa chọn dự án – một loạt các tiêu chuẩn để đánh giá dự án, xếp thứ tự ưu tiên và lựa chọn dự án để triển khai. Các tiêu chẩn này có thể là định tính hay định lượng và có thể liên quan đến nhiều lãnh vựa khác nhau như tài chính, marketing, sản xuất, công nghệ, nhân sự, chất lượng….
project sponsor;;;người tài trợ cho dự án – thường là một nhà quản trị cấp cao trong tổ chức, có quyền hạn phân bổ nguồn lực và hiệu lực hoá các quyết định liên quan đến dự án.
project time management;;;quản trị thời gian dự án – là một trong chín lĩnh vực kiến thức của quản trị dự án. quản trị thời gian gồm các công việc ước lượng thời gian của các công việc trong dự án, xem xét lại kế hoạch tiến độ, theo dõi và kiểm soát các sai lệch từ kế hoạch tiến độ.
projectized organiztion;;;tổ chức theo hình thức dự án – trong mô hình này, công ty được tổ chức theo dự án và Project Manager điều khiển dự án. Những cá nhân được phân công vào dự án và báo cáo cho Project manager. Khi thi, nếu bạn thấy chữ “Projectized”, bạn nên nghĩ đến chữ “no home”. Nhân viên chỉ làm các công việc dự án và khi dự án kết thúc họ không có phòng ban để trở về. Họ cần được phân công vào dự án khác hoặc làm công  việc mới. Các mối thông tin liên lạc chủ yếu xảy ra trong dự án.
quanlitative risk analysis;;;phân tích định tính rủi ro – tiến trình xác định các tác động mà rủi ro có thể gây ra đối với dự án và xác xuất mà rủi ro có thể xảy ra. trên cơ sở đó xếp thứ tự các rủi ro theo mức độ ảnh hưởng của chúng đến mục tiêu dự án.
quality assurance;;;đảm bảo chất lượng – tiến trình thực hiện đánh giá chất lượng để xác định xem dự án được thực hiện như thế nào nhằm da93m bảo rằng dự án đáp ứng được các tiêu chuẩn về chất lượng của dự án. tiến trình này nên được lặp đi lặp lại trong suốt vòng đời dự án
quality control;;;kiểm soát chất lượng – tiến trình nhằm giám sát các kết quả công việc để đánh giá xem các kết quả này có thoả mãn được các tiêu chuẩn về chất lượng đã nêu trong kế hoạch quản lý chất lượng không tiến trình kiểm soát chất lượng  sẽ đánh giá xem liệu kết quả cuối cùng có phù hợp với các yêu cầu và mô tả sản phẩm đã được xác định trong suốt các tiến trình hoạch định hay không
quality management plan;;;kế hoạch quản trị chất lượng – là bản kế hoạch mô tả rõ cách thức mà các thành viên nhóm dự án sẽ thực thi chính sách chất lượng và huy động các nguồn lực  cần thiết để triển khai kế hoạch chất lượng, đồng thời chỉ rõ các trách nhiểm của nhóm dự án trongt việc thực thi chất lượng cũng như tất cả các tiến trình và các thủ tục mà nhóm dự án và tổ chức sẽ sử dụng để thoả mãn các yêu cầu về chất lượng.
quality planning;;;hoạch định chất lượng – tiến trình xác định các tiêu chẩn chất lượng áp dụng cho dự án và cách thức để đạt được các tiêu chuẩn đó.
quantitative risk analysis;;;phân tích định lượng rủi ro – tiến trình gắm một giá trị xác xuất với từng rủi ro đã được xác định và đánh giá tác động tiềm ẩn của các rủi ro này đối với các mục tiêu của dự án.
rebaseline;;;điều chỉnh kế hoạch gốc.
regulation;;;qui định – là các điều luật hay các quy định bắt buộc được chính phủ hay cơ quan có thẩm quyền ban hành. ngoài ra các tổ chức cũng có quy định riêng của họ. các quy định đòi hỏi phải tuân thủ chặt chẽ.
requirement;;;yêu cầu – là các đặc điểm hay đặc tính kỹ thuật cần phải tuân thủ của sản phẩm hay dịch vụ dự án.
resource loading;;;tải trọng nguồn lực – nhu cầu sử dụng từng loại nguồn lực cụ thể cho từng thời kỳ của dự án.
resource allocation;;;phân bổ nguồn lực – là hoạt động phân bổ nguồn lực cho các công việc trong dự án . sau khi phân bổ nguồn lực, chúng sẽ được tính tải trọng nguồn lực chung của dự án để biết nguồn lực nào bị quá tải (Overlocatteded) tức là nhu cầu lớn hơn mức sẵn sàng của nguồn lực trong thời kỳ đó.
reserve time;;;thời gian dự phòng – kỹ thuật thêm vào một lượng thời gian nào đó cho từng công việc để dự phòng cho các rủi ro về tiến độ.
residual risks;;;rủi ro còn lại – rủi ro vẫn còn chưa được giải quyết sau khi đẽ triển khai chiến lược đối phó rủi ro.
resource calendars;;;lịch làm việc của nguồn lực – thời biểu làm việc của một nguồn lực cụ thể thế nào – mức độ sẵn sàng của nguồng lực đó cho dự án.
resource capabilities;;;khả năng của nguồn lực – bản mô tả khả năng của nguồn lực, máy móc, nguyên liệu,… được phân bổ cho công việc.
resource histogram;;;biểu đồ nguồn lực – biểu đồ biểu diễn nhu cầu nguồn lực của toàn bộ dự án theo trục thời gian.
resoure leveling;;;điều phối nguồn lực – kỹ thuật dịch chuyển các công việc có thời gian tự do hoặc chia nhỏ công việc sao cho vẫn không ảnh hưởng đến thời gian hoàn thành dự án, với mục tiêu làm cho nhu cầu nguồn lực trở nên đều đặn giữa các thời kỳ .
resource planning;;;hoạch định nguồn lực – là tiến trình xác định tất cả các nguồn lực cần thiết và khối lượng của các nguồn lực này để thực hiện các công việc của dự án.
resoure rate;;;đơn giá nguồn lực sử dụng cho dự án
resource requirement;;;yêu cầu nguồn lực – là kết quả của tiến trình hoạch định nguồn lực, trong đó mô tả loại nguồn lực và khối lượng của từng loại cần thiết cho từng công việc trong WBS
responsibility assigment matrix;;;ma trận phân công trách nhiệm – ma trận này làm rõ các vai trò và trách nhiệm của các cá nhân gắn với từng công việc trong WBS để đảm bảo rằng mỗi yếu tố trong WBS đề được đảm đương.
revision;;;xem xét lại – là hoạt động điều chỉnh lại tiến độ đã được thông qua trước đó sao cho phù hợp với các thay đổi được thông qua. một thuật ngữ khác của từ này là cập nhật (update)
reward and recognition system;;;hệ thống đánh giá và khen thưởng – là một công cụ trong tiến trình phát triển nhóm dự án, hệ thống này là cách chính thức để các nhà quản trị cấp cao và nhà quản trị dự án công nhận, khen thưởng và cổ vũ cho các hành vi tốt.
rework;;;làm lại – là hiện tượng một công việc nào đó phải thực hiện lại, để tuân thủ theo đúng yêu cầu chất lượng hay tiêu chuẩn chất lượng.
risk;;;" Sự kiện rủi ro là điều được xác định trước mà có thể xảy ra hoặc không; nó có thể có tác động tích cực hoặc tiêu cực lên dự án. Project manager thường chỉ quan tâm đến những mối đe doạ – điều này có thể sai lầm và tác động tiêu cực đến dự án. Đừng quên rằng còn có những tác động tích cực – “rủi ro tốt”, gọi là cơi hội"
risk management plan;;;kế hoạch quản trị rủi ro – là tiến trình ghi rõ cách thức quản trị các rủi ro trong dự án.
risk monitoring and controling;;;theo dõi và kiểm soát rủi ro – là tiến trình đối phó với rủi ro khi chúng xảy ra
risk response plan;;;kế hoạch đối phó rủi ro – là một kế hoạch của tiến trình hoạch định đối phó rủi ro, kế hoạch này mô tả các hành động cần thiết nếu rủi ro lường trước xảy ra. kế hoạch cũng bao gồm tất cảc các rủi ro đã được xác định, mô tả về các rủi ro và các phương diện của dự án bị rủi ro tác động.
Schedule variance;;;sai lệch tiến độ – là một thông số tính từ phân tích giá trị thu được nhằm đánh giá mức độ thực hiện của dự án về phương diện tiến độ.
schedule change control system;;;hệ thống kiểm soát thay đổi tiến độ – là hệ thống các tài liệu xác định cách thức các thay đổi về tiến độ sẽ diễn ra và được quản lý như thế nào. hệ thống này cũng lưu trữ các số liệu theo dõi về yêu cầu thay đổi, mô tả các tiến trình để thực hiện thay đổi tiến độ và chi tiết hoá mức quyền hạn, để thông qua các thay đổi về tiến độ.
schedule development;;;xây dựng tiến độ – là tiến trình tính toán, xây dựng tiến độ các công việc của dự án, kết quả của tiến trình này là bản kế hoạch gốc về tiến độ. bản kế hoạch này xác định các thời điểm bắt đầu và kết thúc công việc, ấn định trình tự thực hiện các công việc và độ dài thời gian, đồng thời thể hiện các phân bổ nguồn lực cho công việc.
schedule performance index;;;SPI, chỉ số hiệu quả về mặt tiến độ – là một kỹ thuật trong phân tích giá trị thu được nhằm đánh giá hiệu quả về mặt tiến độ.
schedule updates;;;cập nhật tiến độ – là kết quả của tiến trình kiểm soát tiến độ nhằm điều chỉnh các công việc và ngày giờ cho phù hợp với các thay đổi đã được thông qua hay phù hợp với hành động điều chỉnh.
scope change control;;;kiểm soát thay đổi phạm vi – tiến trình liên quan đến việc ghi nhận và quản lý các thay đổi so với phạm vi dự án . bất cứ điều chỉnh nào đối với bản WBS đã được thông qua cũng được xem như thay đổi phạm vi . các thay đổi trong phạm vi sản phẩm cũng đòi hỏi thay đổi đối với phạm vi dự án.
scope changes;;;thay đổi phạm vi – là bất kỳ thay đổi nào đối với WBS đã được thông qua. thay đổi phạm vi có thể đòi hỏi phải có các thay đổi hay cập nhật đối với các mục tiêu, chi phí, các đo lường về chất lượng hay các xem xét về kiểm soát và điều chỉnh tiến độ. thay đổi phạm vi thường dẫn đến điều chỉnh tiến độ.
scope definition;;;xác định phạm vi – là tiến trình xác định những gì mà dự án cần thực hiện và chỉ những gì cần phải thực hiện để đạt được mục tiêu. sau đó các công việc này sẽ được chia nhỏ thành các phần việc với quy mô nhỏ hơn, dễ quản lý hơn để tạo điều kiện thuận lợi cho công tác lập kế hoạch, ước lượng và kiểm soát.
scope management plan;;;kế hoạch quản trị phạm vi dự án – là tài liệu phân tích mức độ tin cậy và ổn định của phạm vi dự án, đồng thời ghi nhận lại tiến trình được sử dụng để quản lý phạm vi và các thay đổi đối với phạm vi.
scope statement;;;là tài liệu chỉ rõ các mục tiêu, kết quả và các yêu cầu của dự án. tài liệu này được xem như tài liệu gốc của các quyết định về dự án trong tương lai. scope statement cũng thường bao gồm một phần lý giải về tính cấp thiết của dự án (Business justification)
scope verification;;;kiểm tra phạm vi – tiến trình chính thức hoá sự chấp nhận phạm vi dự án và chủ yếu là chú trọng đến chấp nhận kết quả công việc.
scoring model;;;mô hình cho điểm – là phương pháp lựa chọn các đề xuất dự án trong đó cho điểm và xếp hạng các dự án dựa trên điểm số kết quả.
screening system;;;hệ thống sàng lọc – là một loạt các tiêu chuẩn hiệu quả được xác định trước nhằm sàng lọc các nhà cung cấp. đây là một công cụ trong tiến trình chọn lực nhà cung cấp.
secondary risk;;;rủi ro thứ cấp – rủi ro bắt nguồn từ việc thực hiện một chiến lược rủi ro.
sensitivity analysis;;;phân tích độ nhạy – là một công cụ phân tích rủi ro nhằm đánh giá tác động của sự biến đổi của một hoặc nhiều biến số đến kết quả cuối cùng của dự án.
slack time;;;thời gian dự trữ.
soft logic;;;xem discrestionary dependency.
solicitation;;;mời dự thầu – là tiến trình mời thầu hoặc mời thầu có đề xuất kỹ thuật, hay mời báo giá từ những nhà cung cấp.
source selection;;;chọn nhà cung cấp – tiến trình thu nhận các hồ sơ thầu hoặc báo giá và lựa chọn ra một nhà cung cấp để thực hiện hay cung ứng sản phẩm, dịch vụ.
staff acquisition;;;thu nhận nhân viên – tiến trình huy động nguồn nhân lực và phân công nhân sự vào dự án. nhân sự có thể đến từ bên ngoài hoặc bên trong tổ chức.
staffing pool description;;;mô tả lực lượng nhân sự – là đầu vào của tiến trình thu nhận nhân viên, trong đó xem xét các kinh nghiệm, sở thích cá nhân, cá tính, mức độ sẵn sàng và năng lực chuyên môn của các thành viên tiềm năng của nhóm dự án.
staffing requirements;;;yêu cầu nhân sự – là một bộ phận của nhu cầu nguồn lực . nhu cầu nhân sự trở thành yếu tố đầu vào của tiến trình hoạch định tổ chức vì danh sách này liệt kê tất cả các loại kỹ năng  đòi hỏi, mức năng lực và các cá nhân hay các nhóm có thể cung cấp kỹ năng này cho dự án đồng thời lhuôn khổ thời gian mà dự án cần đến các kỹ năng này.
stakeholder;;;nhóm hữu quan – là các cá nhân hay tổ chức có quyền lợi với dự án và ảnh hưởng đến sự thành công của dự án một cách trực tiếp hay gián tiếp.
standards;;;tiêu chuẩn – là các qui định, hướng dẫn hay các đặc tính cần phải tuân thủ và đã được phê chuẩn bởi một tổ chức có thẩm quyền. tiêu chuẩn là đầu vào của tiến trình hoạch định chất lượng.
startvation;;;rút bớt nguồn lực – là một trong những hình thức kết thúc dự án trong đó nguồn lực tài chính hoặc nhân sự bị rút khỏi dự án.
statement of work;;;là tài liệu mô tả chi tiết các mục tiêu của dự án, công việc của dự án, các đặc tính kỹ thuật chính xác và chi tiết của sản phẩm hay dịch vụ yêu cầu và tiến độ của dự án.
status view meeting;;;họp đánh giá thực trạng dự án – các cuộc họp trong qua trình triển khai dự án nhằm cung cấp các thông tin cập nhật về tiển triển của dự án.
steering commitee;;;hội đồng tuyển chọn – là một nhóm các nhà quản trị cấp cao trong tổ chức, chịu trách nhiệm chọn lựa và sắp xếp thứ tự ưu tiên giữa các dự án cũng như ảnh hưởng đế một số quyết định quan trọng khác cho dự án. hội đồng này cũng có thể có các đại diện từ các bộ phận chức năng trong tổ chức.
team building;;xây dựng nhóm;là một trong những công cụ trong tiến trình phát triển nhóm, nhằm tập hợp một nhóm các cá nhân đa dạng, sao cho họ làm việc một cách hiệu quả nhất.
team development;;phát triển nhóm;là tiến trình nhằm tạo ra môi trường làm việc cới mở, khuyến khích các nhóm hữu quan cũng như để phát triển nhóm dự án thành một nhóm hiệu quả, biết phối hợp và có thể đạt được thành công.
time and materials contract;;;hợp đồng theo thời gian và nguyên vật liệu – là loại hợp đồng kết hợp giữa hợp đồng giá cố định và hợp đồng chi phí phát sinh, trong đó tổng chi phí được tính trên cơ sở thống nhất trước đơn giá.
top down estimating;;;ước lượng từ trên xuống. xem thêm analogous estimating
transference;;chuyển giao;là chiến lược đối phó rủi ro, trong đó rủi ro được chuyển đến một bên thứ 3. ví dụ mua bảo hiểm.
trend analysis;;phân tích xu hướng;là một kỹ thuật dự báo để đánh giá xem liệu hiệu quả dự án có được cải thiện theo thời gian hay không bằng cách định kỳ phân tích các kết quả dự án.
trigger;;kích hoạt;là triệu chứng báo hiệu trước rủi ro sắp xảy ra.
variance at completion;;sai lệch tại thời điểm hoàn thành; một thông số trong kỹ thuật phân tích giá trị thu được nhằm tính sự khác biệt giữa ngân sách tại thời điểm hoàn thành (BAC) với ước lượng chi phí tại thời điểm hoàn thành (EAC). VAC – BAC – EAC
variance analysis;;phân tích sai lệch;là kỹ thuật phân tích so sánh giá trị thực tế với giá trị kế hoạch . phân tích sai lệch có thể được thực hiện trên phương diện chi phí hoặc tiến độ.
WBS;Work breakdown structure;cây cấu trúc công việc;là tài liệu xác định kết quả cuối cùng của công việc rồi sau đó chia nhỏ công việc này thành nhiều công việc nhỏ hơn, dễ quản lý hơn. WBS thường được sắp xếp thành các cấp với cấp sau chi tiết hơn cấp trước.
Work package;;gói công việc;là công việc chi tiết nhất, ở cấp thấp nhất của WBS.
workaround;;phản ứng đột xuất;là một đối phó rủi ro đột xuất khi một rủi ro không được dự tính trước xảy ra hoặc là một phản ứng chưa được lập kế hoạch trước một rủi ro đã xác định.
